species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Felis catus,cat,PRJNA1178732,prjna1178732:fs21,,,FS21,FS21,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row22,FS21 | Zheng and Han City | Xinzheng Henan | Cental China | China | 10.24 | 19562 | 16708 | 98.236999999999995 | 77.610699999999994 | 115273634 | 3.2320600000000002 | 95137 | 960 - 1368 CE | Ⅳ-B | Felis catus,final,,Zheng and Han City,China,,,960 - 1368 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs22,,,FS22,FS22,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row23,FS22 | Zheng and Han City | Xinzheng Henan | Cental China | China | 0.1 | 25761 | 16593 | 97.554199999999994 | 59.579300000000003 | N/A | N/A | N/A | 960 - 1368 CE | Ⅳ-B | Felis catus,final,,Zheng and Han City,China,,,960 - 1368 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs23,,,FS23,FS23,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row24,FS23 | Zheng and Han City | Xinzheng Henan | Cental China | China | 3.42 | 13341 | 17009 | 100 | 304.291 | N/A | N/A | N/A | 960 - 1368 CE | Ⅳ-B | Felis catus,final,,Zheng and Han City,China,,,960 - 1368 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs24,,,FS24,FS24,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row25,FS24 | Han Chang'an City | Xi'an Shaanxi | Cental China | China | 2.7 | 20836 | 16617 | 99.497 | 90.849299999999999 | N/A | N/A | N/A | 44 cal. BCE - 76 cal. CE  | PBE-Indochina | Prionailurus bengalensis,final,,Han Chang'an City,China,,,44 cal. BCE - 76 cal. CE,,Prionailurus bengalensis,project_species_mismatch,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs3,,,FS3,FS3,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row6,FS3 | Xitucheng City | Zhangjiakou Hebei | North China | China | 11.4 | 11063 | 16473 | 96.848699999999994 | 34.703499999999998 | N/A | N/A | N/A | 1115 - 1234 CE | Ⅳ-B | Felis catus,final,,Xitucheng City,China,,,1115 - 1234 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs4,,,FS4,FS4,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row7,FS4 | Xitucheng City | Zhangjiakou Hebei | North China | China | 10.69 | 15936 | 16570 | 97.418999999999997 | 59.871200000000002 | N/A | N/A | N/A | 1115 - 1234 CE | Ⅳ-B | Felis catus,final,,Xitucheng City,China,,,1115 - 1234 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs5,,,FS5,FS5,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row8,FS5 | Xitucheng City | Zhangjiakou Hebei | North China | China | 11.2 | 29916 | 16769 | 98.588999999999999 | 39.218200000000003 | N/A | N/A | N/A | 1115 - 1234 CE | Ⅳ-B | Felis catus,final,,Xitucheng City,China,,,1115 - 1234 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs6,,,FS6,FS6,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row9,FS6 | Xinxiang Song Tomb | Xinxiang Henan | Central China | China | 0.34 | 15982 | 16961 | 99.717799999999997 | 112.491 | N/A | N/A | N/A | 960 - 1127 CE | Ⅳ-B | Felis catus,final,,Xinxiang Song Tomb,China,,,960 - 1127 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs7,,,FS7,FS7,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row10,FS7 | Huoshiliang | Yulin Shaanxi | West China | China | 0.91 | 17321 | 16730 | 99.53 | 16.912700000000001 | N/A | N/A | N/A | 1800 BCE | Felis.s.ornata | Felis ornata,final,,Huoshiliang,China,,,1800 BCE,,Felis ornata,project_species_mismatch,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs8,,,FS8,FS8,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row11,FS8 | Wuzhuangguoliang | Jingbian Shaanxi | West China | China | 8.76 | 9870 | 16416 | 98.293499999999995 | 47.324399999999997 | 153959749 | 5.9626900000000003 | 17194519 | 3000 - 221 BCE | PBE-RFE | Prionailurus bengalensis,final,,Wuzhuangguoliang,China,,,3000 - 221 BCE,,Prionailurus bengalensis,project_species_mismatch,,biological_sample
