stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
equus_caballus:sample:prjeb31613:cgg_1_019992,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_019992,TepeHasanlu_2405_2886,TepeHasanlu_2405_2886,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row216,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Tepe Hasanlu,Iran,37.004486,45.458817,37.004486,45.458817000000003,exact,2886 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row216,Sample-owned chronology disagrees with the project-level chronology interval.,2886,2886,2886,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_019994,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_019994,TepeHasanlu_368_2896,TepeHasanlu_368_2896,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row223,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Tepe Hasanlu,Iran,37.004486,45.458817,37.004486,45.458817000000003,exact,2896 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row223,Sample-owned chronology disagrees with the project-level chronology interval.,2896,2896,2896,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_019995,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_019995,TepeHasanlu_2327_2352,TepeHasanlu_2327_2352,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row215,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Tepe Hasanlu,Iran,37.004486,45.458817,37.004486,45.458817000000003,exact,2417-2287 BP,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row215,Sample-owned chronology disagrees with the project-level chronology interval.,2287,2417,2352,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_019996,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_019996,TepeHasanlu_2689_2352,TepeHasanlu_2689_2352,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row218,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Tepe Hasanlu,Iran,37.004486,45.458817,37.004486,45.458817000000003,exact,2417-2287 BP,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row218,Sample-owned chronology disagrees with the project-level chronology interval.,2287,2417,2352,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_019997,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_019997,TepeHasanlu_3394_2808,TepeHasanlu_3394_2808,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row219,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Tepe Hasanlu,Iran,37.004486,45.458817,37.004486,45.458817000000003,exact,2808 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row219,Sample-owned chronology disagrees with the project-level chronology interval.,2808,2808,2808,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_019998,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_019998,TepeHasanlu_1140_2682,TepeHasanlu_1140_2682,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row214,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Tepe Hasanlu,Iran,37.004486,45.458817,37.004486,45.458817000000003,exact,2682 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row214,Sample-owned chronology disagrees with the project-level chronology interval.,2682,2682,2682,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_020003,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_020003,TepeHasanlu_3461_2930,TepeHasanlu_3461_2930,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row222,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Tepe Hasanlu,Iran,37.004486,45.458817,37.004486,45.458817000000003,exact,2930 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row222,Sample-owned chronology disagrees with the project-level chronology interval.,2930,2930,2930,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_020032,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_020032,Santarem_254_1017,Santarem_254_1017,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row194,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Alcáçova de Santarém,Portugal,39.241,-8.692,39.241,-8.6920000000000002,exact,817-1217 BP,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row194,Sample-owned chronology disagrees with the project-level chronology interval.,817,1217,1017,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_020179,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_020179,Botai_8_5500,Botai_8_5500,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row56,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Botai,Kazakhstan,53.3039424,67.6457864,53.303942399999997,67.645786400000006,exact,5500 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row56,Sample-owned chronology disagrees with the project-level chronology interval.,5500,5500,5500,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb31613:cgg_1_020181,PRJEB31613,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_020181,Botai_A_5500,Botai_A_5500,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row57,site_curated,Equus caballus,horse,ENA,PRJEB31613,archive_reads,primary_paper_pinned,manual_curation_only,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,Botai,Kazakhstan,53.3039424,67.6457864,53.303942399999997,67.645786400000006,exact,5500 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row57,Sample-owned chronology disagrees with the project-level chronology interval.,5500,5500,5500,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
