stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,archive_native_experiment_id,source_native_identity_kind,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
canis_lupus_familiaris:sample:kx379528-kx379529:kx379528,KX379528-KX379529,primary_article_accession_mapping,article_text_extracted,final,KX379528,,biological_sample,CTC,,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,site_curated,Canis lupus familiaris,dog,GenBank,KX379528-KX379529,mitogenome_only,primary_paper_pinned,manual_curation_only,Ancient European dog genomes reveal continuity since the Early Neolithic,10.1038/ncomms16082,https://doi.org/10.1038/ncomms16082,,Cherry Tree Cave,Germany,,,,,unknown,2900-2632 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,normalized_interval,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,,4581,4849,4715,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
canis_lupus_familiaris:sample:kx379528-kx379529:kx379529,KX379528-KX379529,primary_article_accession_mapping,article_text_extracted,final,KX379529,,biological_sample,HXH,,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,site_curated,Canis lupus familiaris,dog,GenBank,KX379528-KX379529,mitogenome_only,primary_paper_pinned,manual_curation_only,Ancient European dog genomes reveal continuity since the Early Neolithic,10.1038/ncomms16082,https://doi.org/10.1038/ncomms16082,,Herxheim,Germany,,,,,unknown,5223-5040 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,normalized_interval,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,Sample-owned chronology disagrees with the project-level chronology interval.,6989,7172,7080,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
canis_lupus_familiaris:sample:srs1407451:srs1407451,SRS1407451,sample_accession_anchor,archive_native,final,SRS1407451,,biological_sample,,,data/adna/governance/source_library/projects/SRS1407451/archive_metadata.html,accession:SRS1407451,site_curated,Canis lupus familiaris,dog,SRA,SRS1407451,archive_reads,primary_paper_pinned,archive_project_catalog,Ancient European dog genomes reveal continuity since the Early Neolithic,10.1038/ncomms16082,https://doi.org/10.1038/ncomms16082,,Ancient European dog CTC sample context,Central Europe,,,,,withheld,Ancient European dog genomic context,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,results text,,4500,7000,5750,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
canis_lupus_familiaris:sample:srs1407453:srs1407453,SRS1407453,primary_article_accession_mapping,article_text_extracted,final,SRS1407453,,biological_sample,HXH,,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,site_curated,Canis lupus familiaris,dog,SRA,SRS1407453,archive_reads,primary_paper_pinned,archive_project_catalog,Ancient European dog genomes reveal continuity since the Early Neolithic,10.1038/ncomms16082,https://doi.org/10.1038/ncomms16082,,Herxheim,Germany,,,,,unknown,5223-5040 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,normalized_interval,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,,6989,7172,7080,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
