species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Capra hircus,goat,PRJEB90141,prjeb90141:samea4453841,Direkli1-2,supplementary_table_sample_label_anchor,direct_table_extracted,final,,11367-11220 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row2,"Direkli1-2 | 11.21 | Direkli Cave | Taurus Mountains, Turkey | 37.857799999999997 | 36.653883 | F | 11367-11220 BCE | Turkish Bezoar, Taurus Mountains | 3.3399999999999999E-2 | 4.9500000000000002E-2 | SAMEA4453841; SAMEA4453842 | 19382004 | 1625844",normalized_interval,13169,13316,13242,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Capra hircus,goat,PRJEB90141,prjeb90141:samea4588077,Blagotin3,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6081-5891 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row3,"Blagotin3 | 11.4 | Blagotin-Poljna | Trstenik, Serbia | 43.723286000000002 | 21.099449 | M | 6081-5891 BCE | Neolithic Serbian Domestic | 3.9800000000000002E-2 | 5.5599999999999997E-2 | SAMEA4588077 | 21287328 | 1792217",normalized_interval,7840,8030,7935,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Capra hircus,goat,PRJEB90141,prjeb90141:samea4591758,Semnan3,supplementary_table_sample_label_anchor,direct_table_extracted,final,,6221-5990 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row5,"Semnan3 | 14.44 | Sang-e Chakhmaq | Semnan, Iran | 36.504157999999997 | 55.000785999999998 | F | 6221-5990 BCE | Neolithic NE Iranian Domestic | 3.7999999999999999E-2 | 5.3499999999999999E-2 | SAMEA4591758 | 24517997 | 2089829",normalized_interval,7939,8170,8054,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Capra hircus,goat,PRJEB90141,prjeb90141:samea4591761,Acem2,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2035-1884 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row4,"Acem2 | 8.6300000000000008 | Acemhöyük | Aksaray Plain, Turkey | 38.540978000000003 | 33.771234 | M | 2035-1884 BCE | Bronze Age Central Turkish Domestic | 2.7199999999999998E-2 | 3.8699999999999998E-2 | SAMEA4591761 | 21846830 | 1846582",normalized_interval,3833,3984,3908,mixed_radiocarbon_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
