country,species_latin_name,species_common_name,animal_scope,curated_project_count,mapped_locality_count,mapped_sample_count,sample_row_count,assignment_confidence,coordinate_posture,oldest_signal_bp,youngest_signal_bp,project_accessions,sample_lineage_backed_sample_count,site_evidence_backed_sample_count,chronology_provenance_backed_sample_count,coordinate_provenance_backed_sample_count,exact_coordinate_sample_count,approximate_coordinate_sample_count,caution_note
Denmark,Equus caballus,horse,domesticated_core,1,1,2,2,exact_country,exact;supplementary_table_coordinates,4961,4944,PRJEB44430,2,2,2,2,2,0,sample support remains sparse
Denmark,Sus scrofa domesticus,pig,domesticated_core,1,2,2,2,exact_country,approximate;named_site_geocoding,,,PRJEB30282,2,2,2,2,0,2,sample support remains sparse; point surface relies on named-site geocoding rather than direct coordinates; coordinates remain approximate or inferred
