project_accession,species_latin_name,source_surface,source_claim_scope,supporting_sample_count,original_locality_text,resolved_locality_text,locality_class,site_name,municipality_name,region_name,country_name,broader_geography,geocoding_safe_token,source_artifact_path,source_artifact_kind,source_locator,source_excerpt
PRJEB19970,Equus caballus,supplementary_table,sample_owned_locality,2,Arzhan I,Arzhan I,excavation_site,Arzhan I,,,Russia,,arzhani,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,supplementary_spreadsheet_row,Sheet1!row3,ArzhanI_I-K2_Arz1_2727 | CGG_1_017079 | Iron Age | 2727 | Scythian | Arzhan I | Russia | male | PRJEB19970 | Librado et al. 2017 | 2.82 | 150
PRJEB19970,Equus caballus,supplementary_table,sample_owned_locality,10,Berel',Berel',excavation_site,Berel',,,Kazakhstan,,berel,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,supplementary_spreadsheet_row,Sheet1!row7,Berel_BER01_A_2300 | CGG_1_016168 | Iron Age | 2300 | Scythian | Berel' | Kazakhstan | male | PRJEB19970 | Librado et al. 2017 | 9.2899999999999991 | 384
PRJEB19970,Equus caballus,supplementary_table,sample_owned_locality,1,N/A,N/A,excavation_site,N/A,,,,N/A,na,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,supplementary_spreadsheet_row,Sheet1!row46 || Sheet1!row75,Connemara_0004A | N/A | modern | N/A | Connemara Pony | N/A | N/A | male | PRJEB19970 | Finno et al. 2015 | 173 | 5.38 || Somali_0226A | N/A | modern | N/A | Somali wild ass | N/A | N/A | female | PRJEB19970 | Jónsson et al. 2014 | 88 | 21.5
PRJEB19970,Equus caballus,supplementary_table,sample_owned_locality,1,Sintashta,Sintashta,excavation_site,Sintashta,,,Russia,,sintashta,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,supplementary_spreadsheet_row,Sheet1!row35,Sintashta_NB46_4023 | CGG_1_017038 | Bronze Age | 4023 | Sintashta | Sintashta | Russia | female | PRJEB19970 | Librado et al. 2017 | 6.09 | 431
