project_accession,species_latin_name,source_surface,source_claim_scope,supporting_sample_count,original_locality_text,resolved_locality_text,locality_class,site_name,municipality_name,region_name,country_name,broader_geography,geocoding_safe_token,source_artifact_path,source_artifact_kind,source_locator,source_excerpt
KX379528-KX379529,Canis lupus familiaris,supplementary_table,sample_owned_locality,1,Cherry Tree Cave,Cherry Tree Cave,excavation_site,Cherry Tree Cave,,,Germany,,cherrytreecave,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,article_or_archive_text,Results: Archaeological samples and ancient DNA sequencing; Data availability,KX379528 maps respectively to CTC; the article identifies Cherry Tree Cave and gives a calibrated BCE interval.
KX379528-KX379529,Canis lupus familiaris,supplementary_table,sample_owned_locality,1,Herxheim,Herxheim,excavation_site,Herxheim,,,Germany,,herxheim,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,article_or_archive_text,Results: Archaeological samples and ancient DNA sequencing; Data availability,KX379529 maps respectively to HXH; the article identifies Herxheim and gives a calibrated BCE interval.
