species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Canis lupus familiaris,dog,KX379528-KX379529,kx379528-kx379529:kx379528,KX379528,CTC,,CTC,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,KX379528 maps respectively to CTC; the article identifies Cherry Tree Cave and gives a calibrated BCE interval.,final,,Cherry Tree Cave,Germany,,,2900-2632 BCE,,,,,,not_reported,,biological_sample
Canis lupus familiaris,dog,KX379528-KX379529,kx379528-kx379529:kx379529,KX379529,HXH,,HXH,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1038-ncomms16082/article.html,Results: Archaeological samples and ancient DNA sequencing; Data availability,KX379529 maps respectively to HXH; the article identifies Herxheim and gives a calibrated BCE interval.,final,,Herxheim,Germany,,,5223-5040 BCE,,,,,,not_reported,,biological_sample
