project_accession,species_latin_name,species_common_name,site_label,political_entity,paper_doi,paper_url,supplementary_source,source_artifact_path,source_artifact_kind,source_locator,exact_source_text,source_support_status,coordinate_basis,latitude_text,longitude_text,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB36540,Ovis aries,sheep,Barcın Höyük,,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row170,158 | Barcın Höyük | BH 28 | 31157 | 6300-6200 cal  BCE | N/A | N/A,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB36540,Ovis aries,sheep,Boncuklu Höyük,,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row11,9 | Boncuklu Höyük | BK1 | 9318 | 8400-7800 cal BCE | 1 | B,supplementary_table_row,site_level_localities,,,8400-7800 cal BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB36540,Ovis aries,sheep,Canhasan III Höyüğü,,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row13,11 | Canhasan III Höyüğü | CH1 | 49F BONE ID 142 | 7400-7100 cal BCE | 2 | B,supplementary_table_row,site_level_localities,,,7400-7100 cal BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB36540,Ovis aries,sheep,Pınarbaşı Höyük,,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row7,5 | Pınarbaşı Höyük | PB10 | BBH 10208 | 6500-6000 cal BCE | 2 | D,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB36540,Ovis aries,sheep,Tepecik-Çiftlik Höyük,,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,supplementary_spreadsheet_row,Sheet1!row9,6 | Tepecik-Çiftlik Höyük | tps002 | TEP02 | 779/16K | 8954211 | 51829 | 7.45E-3 | 51.8 | 8.1400000000000005E-4 | 9.3899999999999997E-2,supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB36540,Ovis aries,sheep,Ulucak Höyük,,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,supplementary_spreadsheet_row,Sheet1!row140,"128 | Ulucak Höyük | UH1 | Ulucak 26, IV | 6000-5700/5600 BCE | N/A | N/A",supplementary_table_row,site_level_localities,,,,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table; chronology remains sample-owned when its records have different dates.,
PRJEB59481,Ovis aries,sheep,Kastelholm,Finland,10.1093/gbe/evae114,https://doi.org/10.1093/gbe/evae114,,data/adna/governance/source_library/projects/PRJEB59481/ena_samples/SAMEA112960291.xml,ena_sample_xml,./SAMPLE[@accession='SAMEA112960291']/DESCRIPTION,Sheep humerus excavated in Kastelholm,archive_sample_record,archive_coordinates,60.23,20.08,,,,unknown,false,domesticated_core,The ENA sample XML supplies source-native coordinates at two decimal degrees. The supplement independently supports specimen and site identity; chronology remains sample-owned.,
PRJEB59481,Ovis aries,sheep,Stora Förvar,Sweden,10.1093/gbe/evae114,https://doi.org/10.1093/gbe/evae114,,data/adna/governance/source_library/projects/PRJEB59481/ena_samples/SAMEA112960293.xml,ena_sample_xml,./SAMPLE[@accession='SAMEA112960293']/DESCRIPTION,Sheep humerus excavated in Stora Förvar,archive_sample_record,archive_coordinates,57.29,17.97,,,,unknown,false,domesticated_core,The ENA sample XML supplies source-native coordinates at two decimal degrees. The supplement independently supports specimen and site identity; chronology remains sample-owned.,
