locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
Oland,56.8057977,16.7301606,4,773,1236,1004,773-1236 BP,"1240k,ho",VK334.SG;VK336.SG;VK358.SG;VK533.SG
"Sigtuna, cemetery 1 (Nunnnan)",59.61731,17.72361,4,726,1175,950,726-1175 BP,"1240k,ho",vik_84001.SG;vik_84005.SG;vik_84035.SG;vik_nuf002.SG
"Sigtuna, church 1 (Urmakaren)",59.61731,17.72361,4,684,1074,879,684-1074 BP,"1240k,ho",vik_urm035.SG;vik_urm045.SG;vik_urm160.SG;vik_urm161.SG
"Ajvide Settlement (Gotland, Eksta)",57.281086,18.169117,3,4735,5022,4878,4735-5022 BP,"1240k,ho",ajv28.SG;ajv36.SG;ajv54.SG
"Hemmor (Gotland, När parish)",57.22,18.57,3,4821,5348,5084,4821-5348 BP,"1240k,ho",hem001.SG;hem004.SG;hem005.SG
"Hindby mosse (Skåne län, Malmö)",55.565,13.036,3,4957,5289,5123,4957-5289 BP,"1240k,ho",NEO36.SG;NEO38.SG;NEO39.SG
Oland,57.3501182,17.0758422,3,1142,1258,1200,1142-1258 BP,"1240k,ho",VK359.SG;VK379.SG;VK382.SG
"Olljso (Skåne län, Kristianstad)",56.014689,14.068039,3,3574,4809,4192,3574-4809 BP,"1240k,ho",oll007.SG;oll009.SG;oll010.SG
"Sigtuna, mass grave (St. Lars)",59.61731,17.72361,3,726,1074,900,726-1074 BP,"1240k,ho",vik_97002.SG;vik_97026.SG;vik_97029.SG
Stora Förvar,57.285,17.971,3,8735,9324,9030,8735-9324 BP,"1240k,ho",SF11.SG;SF12.SG;SF9.SG
Abekås I,55.397,13.6,2,3113,3953,3533,3113-3953 BP,"1240k,ho",RISE175.SG;RISE179.SG
"Bergsgraven (Östergötlands län, Linköping)",58.415833,15.625278,2,4386,4598,4492,4386-4598 BP,"1240k,ho",ber1M.SG;ber2F.SG
Firse Sten,58.1531,13.5686,2,2943,3119,3031,2943-3119 BP,"1240k,ho",FIR001.SG;FIR001_d.SG
"Gorla (Stockholms län, Norrtälje)",59.7,18.7,2,715,1235,975,715-1235 BP,"1240k,ho",gor164.SG;gor358.SG
Holma,58.1498,13.6392,2,4582,4878,4730,4582-4878 BP,"1240k,ho",HOL001.SG;HOL001_d.SG
"Ljungbacka (Skåne län, Vellinge)",55.54,13.05,2,720,1180,950,720-1180 BP,"1240k,ho",VK108.SG;VK217.SG
Oland,56.7279175,16.7191707,2,826,1174,1000,826-1174 BP,"1240k,ho",VK335.SG;VK346.SG
Oland,56.7321539,16.721969,2,826,1268,1047,826-1268 BP,"1240k,ho",VK345.SG;VK350.SG
Oland,57.3426385,17.0209072,2,826,1174,1000,826-1174 BP,"1240k,ho",VK380.SG;VK443.SG
"Oland (Kalmar län, Mörbylånga)",56.4440667,16.5656284,2,815,1174,994,815-1174 BP,"1240k,ho",VK342.SG;VK354.SG
"Oland (Kalmar län, Mörbylånga)",56.5524197,16.6212723,2,826,1174,1000,826-1174 BP,"1240k,ho",VK343.SG;VK343_d.SG
"Oland (Kalmar län, Mörbylånga)",56.3268808,16.4066237,2,826,1174,1000,826-1174 BP,"1240k,ho",VK344.SG;VK344_d.SG
"Romback (Västernorrlands län, Ånge)",62.5,16.3,2,1447,1503,1475,1447-1503 BP,"1240k,ho",rtp001.SG;rtp003.SG
"Sigtuna, cemetery 3 (Kållandet)",59.61731,17.72361,2,726,1074,900,726-1074 BP,"1240k,ho",vik_KAL006.SG;vik_kal009.SG
"Sigtuna, cemetery 4 (Bensinst.)",59.61731,17.72361,2,726,1074,900,726-1074 BP,"1240k,ho",vik_2072.SG;vik_bns023.SG
