species_latin_name,project_accession,source_family,accession_scope,result_kind,archive_status,evidence_strength,ancient_status,metadata_url,paper_title,paper_doi,journal_title,publication_year,sequencing_target,material_basis,dating_basis,geographic_basis,access_policy,public_release_date,domestication_scope,notes
Capra hircus,PRJEB90141,ENA,project,read_run,paper_pinned_core,primary_paper_pinned,ancient_confirmed,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB90141&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,Genome Biology and Evolution,2025,shotgun_genome,individual_bone_or_tooth,mixed_radiocarbon_and_archaeological_context,site_level_localities,public_downloadable,2025-12-31,domesticated_core,Ancient goat demographic-history anchor from genome imputation study.
Capra hircus,PRJEB90261,ENA,project,read_run,paper_pinned_core,primary_paper_pinned,ancient_confirmed,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB90261&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,iScience,2025,shotgun_genome,individual_bone_or_tooth,historical_and_archaeological_context,site_level_localities,public_downloadable,,domesticated_core,Canary Islands goat temporal continuity anchor.
Capra hircus,PRJNA1328209,ENA,project,read_run,paper_pinned_core,primary_paper_pinned,ancient_confirmed,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA1328209&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0","Ancient genomes reveal the genetic history of domestic goats on the Qinghai-Xizang Plateau approximately 3,600 years ago",10.24272/j.issn.2095-8137.2025.080,Zoological Research,2025,shotgun_genome,individual_bone_or_tooth,archaeological_period_assignment,site_level_localities,public_downloadable,,domesticated_core,Qinghai-Xizang Plateau goat population-history anchor.
