stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,archive_native_experiment_id,source_native_identity_kind,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
felis_catus:sample:prjeb81815:samea120246525,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246525,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246525,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246526,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246526,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246526,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246527,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246527,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246527,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246528,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246528,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246528,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246529,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246529,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246529,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246530,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246530,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246530,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246531,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246531,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246531,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246532,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246532,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246532,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246533,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246533,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246533,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:sample:prjeb81815:samea120246534,PRJEB81815,archive_project_sample_accession_anchor,archive_native,final,SAMEA120246534,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB81815/archive_metadata.html,sample_accession:SAMEA120246534,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,Holocene cat dispersal across North Africa and Europe,project_context_interval,historical_or_recent_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,discussion text,,1200,4000,2600,historical_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
