artifact_id,artifact_kind,label,source_url,local_path,fetch_status,remote_note,project_accessions,paper_doi,content_type,byte_size,storage_path,storage_byte_size,content_encoding
PRJEB69690:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB69690&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB69690/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB69690,,text/plain,29700,adna/governance/source_library/projects/PRJEB69690/archive_metadata.html.gz,4889,gzip
PRJEB7537:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB7537&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB7537/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB7537,,text/plain,22259,adna/governance/source_library/projects/PRJEB7537/archive_metadata.html.gz,3378,gzip
PRJEB81145:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB81145&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB81145/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB81145,,text/plain,2810,adna/governance/source_library/projects/PRJEB81145/archive_metadata.html.gz,687,gzip
PRJEB9799:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB9799&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB9799/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB9799,,text/plain,2963,adna/governance/source_library/projects/PRJEB9799/archive_metadata.html.gz,754,gzip
PRJNA421430:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA421430&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJNA421430/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJNA421430,,text/plain,4411,adna/governance/source_library/projects/PRJNA421430/archive_metadata.html.gz,918,gzip
PRJNA634908:archive_metadata.html,archive_metadata_html,archive metadata page,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA634908,adna/governance/source_library/projects/PRJNA634908/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJNA634908,,text/html; charset=UTF-8,56901,adna/governance/source_library/projects/PRJNA634908/archive_metadata.html.gz,13676,gzip
PRJNA705960:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA705960&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJNA705960,,text/plain,3535,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html.gz,808,gzip
PRJNA788987:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA788987&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJNA788987/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJNA788987,,text/plain,1638,adna/governance/source_library/projects/PRJNA788987/archive_metadata.html.gz,525,gzip
PRJNA878488:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA878488&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJNA878488/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJNA878488,,text/plain,3950,adna/governance/source_library/projects/PRJNA878488/archive_metadata.html.gz,856,gzip
10.1016-j.cell.2019.03.049:1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S0092867419303848-mmc1.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB31613,10.1016/j.cell.2019.03.049,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,81103,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,,
10.1016-j.cell.2019.03.049:1-s2.0-S0092867419303848-mmc2.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S0092867419303848-mmc2.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc2.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB31613,10.1016/j.cell.2019.03.049,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,51312,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc2.xlsx,,
10.1016-j.cell.2019.03.049:1-s2.0-S0092867419303848-mmc3.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S0092867419303848-mmc3.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB31613,10.1016/j.cell.2019.03.049,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,52635,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,,
10.1016-j.cell.2019.03.049:1-s2.0-S0092867419303848-mmc4.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S0092867419303848-mmc4.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc4.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB31613,10.1016/j.cell.2019.03.049,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,103700,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc4.xlsx,,
10.1016-j.cell.2019.03.049:1-s2.0-S0092867419303848-mmc5.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S0092867419303848-mmc5.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc5.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB31613,10.1016/j.cell.2019.03.049,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,47856,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc5.xlsx,,
10.1016-j.cell.2019.03.049:1-s2.0-S0092867419303848-mmc6.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S0092867419303848-mmc6.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc6.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB31613,10.1016/j.cell.2019.03.049,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,184594,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc6.xlsx,,
10.1016-j.cell.2019.03.049:1-s2.0-S0092867419303848-mmc7.xlsx,supplementary_table,curated supplementary asset 1-s2.0-S0092867419303848-mmc7.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc7.xlsx,archived,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.,PRJEB31613,10.1016/j.cell.2019.03.049,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,39548,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc7.xlsx,,
10.1016-j.cell.2019.03.049:article.html,article_html,article source,https://pmc.ncbi.nlm.nih.gov/articles/PMC6547883/,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/article.html,archived,PMC full-text HTML is archived for the horse time-series paper.,PRJEB31613,10.1016/j.cell.2019.03.049,text/html; charset=utf-8,551817,adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/article.html.gz,125457,gzip
