country,species_latin_name,species_common_name,animal_scope,curated_project_count,mapped_locality_count,mapped_sample_count,sample_row_count,assignment_confidence,coordinate_posture,oldest_signal_bp,youngest_signal_bp,project_accessions,sample_lineage_backed_sample_count,site_evidence_backed_sample_count,chronology_provenance_backed_sample_count,coordinate_provenance_backed_sample_count,exact_coordinate_sample_count,approximate_coordinate_sample_count,caution_note
Sweden,Equus caballus,horse,domesticated_core,1,1,1,1,exact_country,exact;supplementary_table_coordinates,1417,1217,PRJEB31613,1,1,1,1,1,0,sample support remains sparse
Sweden,Ovis aries,sheep,domesticated_core,1,1,3,3,exact_country,archive_coordinates;source_reported_two_decimal_degrees,4151,3699,PRJEB59481,3,3,3,3,0,0,current country assignment is direct and explicit
