row_kind,paper_doi,artifact_id,artifact_kind,label,source_url,local_path,fetch_status,content_type,byte_size,member_name,member_local_path,inferred_purpose
archived_asset,10.1038/s41586-024-08112-6,10.1038-s41586-024-08112-6:article.html,article_html,article source,https://www.nature.com/articles/s41586-024-08112-6,adna/governance/source_library/papers/10.1038-s41586-024-08112-6/article.html,archived,"text/html; charset=""UTF-8""",606871,,,Nature article page is archived as the accessible paper surface.
archived_asset,10.1038/s41586-024-08112-6,10.1038-s41586-024-08112-6:crossref.json,paper_metadata_json,crossref metadata,https://api.crossref.org/works/10.1038/s41586-024-08112-6,adna/governance/source_library/papers/10.1038-s41586-024-08112-6/crossref.json,archived,application/json,39914,,,Crossref metadata snapshot preserves DOI and title even when publisher downloads are blocked.
archived_asset,10.1038/s41586-024-08112-6,10.1038-s41586-024-08112-6:41586_2024_8112_MOESM1_ESM.pdf,supplementary_pdf,curated supplementary asset 41586_2024_8112_MOESM1_ESM.pdf,https://www.nature.com/articles/s41586-024-08112-6,adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM1_ESM.pdf,archived,application/pdf,10653460,,,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.
archived_asset,10.1038/s41586-024-08112-6,10.1038-s41586-024-08112-6:41586_2024_8112_MOESM2_ESM.pdf,supplementary_pdf,curated supplementary asset 41586_2024_8112_MOESM2_ESM.pdf,https://www.nature.com/articles/s41586-024-08112-6,adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM2_ESM.pdf,archived,application/pdf,5003139,,,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.
archived_asset,10.1038/s41586-024-08112-6,10.1038-s41586-024-08112-6:41586_2024_8112_MOESM3_ESM.xlsx,supplementary_table,curated supplementary asset 41586_2024_8112_MOESM3_ESM.xlsx,https://www.nature.com/articles/s41586-024-08112-6,adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,archived,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,305785,,,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.
archived_asset,10.1038/s41586-024-08112-6,10.1038-s41586-024-08112-6:41586_2024_8112_MOESM4_ESM.pdf,supplementary_pdf,curated supplementary asset 41586_2024_8112_MOESM4_ESM.pdf,https://www.nature.com/articles/s41586-024-08112-6,adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM4_ESM.pdf,archived,application/pdf,2984908,,,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.
archived_asset,10.1038/s41586-024-08112-6,PRJEB75467:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB75467&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,archived,text/plain,274385,,,Archive-facing metadata page captured for the tracked accession.
