stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,archive_native_experiment_id,source_native_identity_kind,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
sus_scrofa_domesticus:sample:prjeb30282:samea5160896,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160896,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160896,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160897,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160897,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160897,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160898,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160898,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160898,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160899,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160899,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160899,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160900,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160900,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160900,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160901,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160901,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160901,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160902,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160902,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160902,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160903,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160903,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160903,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160904,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160904,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160904,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160905,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160905,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160905,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160906,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160906,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160906,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160907,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160907,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160907,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160908,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160908,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160908,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160909,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160909,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160909,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160910,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160910,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160910,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
