species_latin_name,project_accession,source_family,accession_scope,result_kind,source_title,source_description,source_title_basis,source_description_basis,archive_status,evidence_strength,ancient_status,metadata_url,paper_title,paper_doi,journal_title,publication_year,sequencing_target,material_basis,dating_basis,geographic_basis,access_policy,public_release_date,domestication_scope,notes
Camelus dromedarius,SRP073444,SRA,project,read_run,Camelus dromedarius Raw sequence reads,DNA sequences from ancient domestic and wild dromedary camel,ena-secondary-study-search,ena-secondary-study-search,paper_pinned_core,primary_paper_pinned,ancient_confirmed,https://www.ncbi.nlm.nih.gov/sra?term=SRP073444,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,Molecular Ecology Resources,2017,capture_and_shotgun,individual_bone_or_tooth,historical_and_archaeological_context,site_level_localities,public_downloadable,,domesticated_core,Domestic-dromedary anchor. Comparator camelid evidence does not extend support to other camelid species automatically.
Camelus dromedarius,KU605068-KU605080,GenBank,accession_range,read_run,"Camelus dromedarius isolate Palm152 mitochondrion, partial genome",KU605068,ncbi-nuccore-summary,ncbi-nuccore-summary,paper_pinned_core,primary_paper_pinned,ancient_confirmed,https://www.ncbi.nlm.nih.gov/nuccore/KU605068,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,Molecular Ecology Resources,2017,mitogenome,individual_bone_or_tooth,historical_and_archaeological_context,site_level_localities,public_downloadable,,domesticated_core,"Dromedary mitogenome range named on the primary paper page. It supports Camelus dromedarius only, not other camelids."
