feature_id,evidence_row_id,site_record_id,species_latin_name,species_common_name,animal_scope,support_class,locality,political_entity,latitude,longitude,coordinate_basis,coordinate_confidence,sample_count,sample_record_ids,source_native_taxon_labels,source_native_tax_ids,source_native_scientific_names,taxon_alignment_statuses,project_accessions,paper_doi,supplementary_sources,time_label,nordic_inclusion
animal-atlas-feature:equus-caballus-locality-prjeb31613-uppsala-sweden,animal-atlas-row:equus-caballus-prjeb31613-equus-caballus-locality-prjeb31613-uppsala-sweden,equus_caballus:locality:prjeb31613:uppsala:sweden,Equus caballus,horse,domesticated_core,accepted,Uppsala,Sweden,59.861,17.639,supplementary_table_coordinates,exact,1,equus_caballus:sample:prjeb31613:cgg_1_018490,,,,not_reported,PRJEB31613,10.1016/j.cell.2019.03.049,,1217-1417 BP,true
animal-atlas-feature:equus-caballus-locality-prjeb44430-ginnerup-denmark,animal-atlas-row:equus-caballus-prjeb44430-equus-caballus-locality-prjeb44430-ginnerup-denmark,equus_caballus:locality:prjeb44430:ginnerup:denmark,Equus caballus,horse,domesticated_core,accepted,Ginnerup,Denmark,56.41134,10.74481,supplementary_table_coordinates,exact,2,equus_caballus:sample:prjeb44430:samea9533224;equus_caballus:sample:prjeb44430:samea9533225,,,,not_reported,PRJEB44430,10.1038/s41586-021-04018-9,,4944-4961 BP,true
animal-atlas-feature:ovis-aries-locality-prjeb59481-kastelholm-finland,animal-atlas-row:ovis-aries-prjeb59481-ovis-aries-locality-prjeb59481-kastelholm-finland,ovis_aries:locality:prjeb59481:kastelholm:finland,Ovis aries,sheep,domesticated_core,accepted,Kastelholm,Finland,60.23,20.08,archive_coordinates,source_reported_two_decimal_degrees,2,ovis_aries:sample:prjeb59481:samea112960291;ovis_aries:sample:prjeb59481:samea112960292,Ovis aries (tax_id 9940),9940,Ovis aries,project_species_match,PRJEB59481,10.1093/gbe/evae114,,340-527 BP,true
animal-atlas-feature:ovis-aries-locality-prjeb59481-storafrvar-sweden,animal-atlas-row:ovis-aries-prjeb59481-ovis-aries-locality-prjeb59481-storafrvar-sweden,ovis_aries:locality:prjeb59481:storafrvar:sweden,Ovis aries,sheep,domesticated_core,accepted,Stora Förvar,Sweden,57.29,17.97,archive_coordinates,source_reported_two_decimal_degrees,3,ovis_aries:sample:prjeb59481:samea112960293;ovis_aries:sample:prjeb59481:samea112960294;ovis_aries:sample:prjeb59481:samea112960295,Ovis aries (tax_id 9940),9940,Ovis aries,project_species_match,PRJEB59481,10.1093/gbe/evae114,,3699-4151 BP,true
animal-atlas-feature:sus-scrofa-domesticus-locality-prjeb30282-bunds-denmark,animal-atlas-row:sus-scrofa-domesticus-prjeb30282-sus-scrofa-domesticus-locality-prjeb30282-bunds-denmark,sus_scrofa_domesticus:locality:prjeb30282:bunds:denmark,Sus scrofa domesticus,pig,domesticated_core,accepted,Bundsø,Denmark,55.02158609,9.77344984,named_site_geocoding,approximate,1,sus_scrofa_domesticus:sample:prjeb30282:samea5160867,Sus scrofa (tax_id 9823),9823,Sus scrofa,project_species_mismatch,PRJEB30282,10.1073/pnas.1901169116,https://eprints.bournemouth.ac.uk/32649/13/Franz%20et%20al.%2C%202019%20-%20PNAS%20-%20Suppl%20Info.pdf;https://www.kulturarv.dk/ffpublic/wfs?service=WFS&version=1.1.0&request=GetFeature&typeName=fundogfortidsminder:fundogfortidsminder_punkt_ikkefredet&outputFormat=application/json&srsName=EPSG:4326&CQL_FILTER=systemnr%3D86607,4700 BP,true
animal-atlas-feature:sus-scrofa-domesticus-locality-prjeb30282-trelleborg-denmark,animal-atlas-row:sus-scrofa-domesticus-prjeb30282-sus-scrofa-domesticus-locality-prjeb30282-trelleborg-denmark,sus_scrofa_domesticus:locality:prjeb30282:trelleborg:denmark,Sus scrofa domesticus,pig,domesticated_core,accepted,Trelleborg,Denmark,55.39416667,11.26527778,named_site_geocoding,approximate,1,sus_scrofa_domesticus:sample:prjeb30282:samea5160868,Sus scrofa (tax_id 9823),9823,Sus scrofa,project_species_mismatch,PRJEB30282,10.1073/pnas.1901169116,https://en.natmus.dk/fileadmin/user_upload/Editor/ManagementPlan_Web_lille.pdf;https://eprints.bournemouth.ac.uk/32649/13/Franz%20et%20al.%2C%202019%20-%20PNAS%20-%20Suppl%20Info.pdf,1000 BP,true
