species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind,chronology_time_mean_bp
Felis catus,cat,PRJEB81815,prjeb81815:samea120246525,SAMEA120246525,BREMcat05,BREM05,BREMcat05,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246525 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row16 -> Table_S1!row44,ENA identifies SAMEA120246525 as Felis catus (tax_id 9685). Exact workbook join BREM05; source chronology: 1440AD (65.0%) 1530AD / 1570AD (30.4%) 1630AD.,final,,"Bremen; 201-Altstadt, Marktplatz",Germany,53.10,8.83,320-510 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246526,SAMEA120246526,BREMcat07,BREM07,BREMcat07,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246526 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row17 -> Table_S1!row45,ENA identifies SAMEA120246526 as Felis catus (tax_id 9685). Exact workbook join BREM07; source chronology: 16th.,final,,"Bremen; 253-Altstadt, Am Wall",Germany,53.10,8.83,16th,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246527,SAMEA120246527,BRPAcat24,BRPA24,BRPAcat24,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246527 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row18 -> Table_S1!row23,ENA identifies SAMEA120246527 as Felis catus (tax_id 9685). Exact workbook join BRPA24; source chronology: end 14th - 15th cent. AD.,final,,"Parking 58, Brussels",Belgium,50.85,4.35,end 14th - 15th cent. AD,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246528,SAMEA120246528,BRPAcat27,BRPA27,BRPAcat27,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246528 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row20 -> Table_S1!row24,ENA identifies SAMEA120246528 as Felis catus (tax_id 9685). Exact workbook join BRPA27; source chronology: end 14th - 15th cent. AD.,final,,"Parking 58, Brussels",Belgium,50.85,4.35,end 14th - 15th cent. AD,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246529,SAMEA120246529,CASTcat02,CAST02,CASTcat02,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246529 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row22 -> Table_S1!row74,ENA identifies SAMEA120246529 as Felis catus (tax_id 9685). Exact workbook join CAST02; source chronology: 11-12th c AD.,final,,Castiglione in Sabina,Italy,42.11,12.78,11-12th c AD,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246530,SAMEA120246530,CECcat03,CEC03,CECcat03,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246530 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row23 -> Table_S1!row75,ENA identifies SAMEA120246530 as Felis catus (tax_id 9685). Exact workbook join CEC03; source chronology: 12-13th c AD.,final,,"Rome, S. Cecilia in Trastevere",Italy,41.89,12.48,12-13th c AD,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246531,SAMEA120246531,CETcat01,CET01,CETcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246531 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row25 -> Table_S1!row186,ENA identifies SAMEA120246531 as Felis silvestris silvestris (tax_id 463207). Exact workbook join CET01; source chronology: 5300BC (9.4%) 5250BC / 5230BC (86.0%) 5040BC (dated twice accidentally).,final,,"Cova de Els Trocs, Huesca",Spain,42.47,0.53,6989-7249 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246532,SAMEA120246532,COCcat01,COC01,COCcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246532 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row26 -> Table_S1!row76,ENA identifies SAMEA120246532 as Felis silvestris silvestris (tax_id 463207). Exact workbook join COC01; source chronology: 5370BC (95.4%) 5210BC.,final,,"Grotta del Cocci (Narni, Umbria)",Italy,42.52,12.52,7159-7319 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246533,SAMEA120246533,DHcat06,DH06,DHcat06,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246533 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row28 -> Table_S1!row205,ENA identifies SAMEA120246533 as Felis catus (tax_id 9685). Exact workbook join DH06; source chronology: 1302 (74.8%) 1369calAD / 1380 (20.6%) 1401calAD.,final,,Demircihüyük,Turkey,40.17,29.98,550-650 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246534,SAMEA120246534,DOScat01,DOS01,DOScat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246534 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row31 -> Table_S1!row77,ENA identifies SAMEA120246534 as Felis silvestris silvestris (tax_id 463207). Exact workbook join DOS01; source chronology: 8240BC (95.4%) 7940BC.,final,,Galgenbühel/Dos de la Forca-Salorno,Italy,,,9889-10189 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246535,SAMEA120246535,DOScat03,DOS03,DOScat03,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246535 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row33 -> Table_S1!row79,"ENA identifies SAMEA120246535 as Felis silvestris silvestris (tax_id 463207). Exact workbook join DOS03; source chronology: 8,500-7,500 cal BC.",final,,Galgenbühel/Dos de la Forca-Salorno,Italy,,,9449-10449 BP,archaeological_context,archaeological_context_date,contextual_interval,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246536,SAMEA120246536,DURcat01,DUR01,DURcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246536 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row34 -> Table_S1!row30,ENA identifies SAMEA120246536 as Felis silvestris silvestris (tax_id 463207). Exact workbook join DUR01; source chronology: 4450BC (95.4%) 4330BC.,final,,Durankulak,Bulgaria,43.70,28.54,6279-6399 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246537,SAMEA120246537,DURcat02,DUR02,DURcat02,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246537 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row35 -> Table_S1!row31,ENA identifies SAMEA120246537 as Felis silvestris silvestris (tax_id 463207). Exact workbook join DUR02; source chronology: Aeneolithic 4200-4100 cal BC.,final,,Durankulak,Bulgaria,43.70,28.54,6049-6149 BP,archaeological_context,archaeological_context_date,contextual_interval,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246538,SAMEA120246538,DURcat03,DUR03,DURcat03,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246538 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row36 -> Table_S1!row32,ENA identifies SAMEA120246538 as Felis silvestris silvestris (tax_id 463207). Exact workbook join DUR03; source chronology: Aeneolithic 4200-4100 cal BC.,final,,Durankulak,Bulgaria,43.70,28.54,6049-6149 BP,archaeological_context,archaeological_context_date,contextual_interval,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
