species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Felis catus,cat,PRJEB81815,prjeb81815:samea120246561,MUScat01,archive_supplement_exact_join,direct_table_extracted,final,,1410-1590 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246561 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row68 -> Table_S1!row105,ENA identifies SAMEA120246561 as Felis silvestris silvestris (tax_id 463207). Exact workbook join MUS01; source chronology: 360AD (95.4%) 540AD.,normalized_interval,1410,1590,1500,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246562,PADcat01,archive_supplement_exact_join,direct_table_extracted,final,,510-550 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246562 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row70 -> Table_S1!row106,ENA identifies SAMEA120246562 as Felis catus (tax_id 9685). Exact workbook join PAD01; source chronology: 1400AD (95.4%) 1440AD.,normalized_interval,510,550,530,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246563,PALcat09,archive_supplement_exact_join,direct_table_extracted,final,,12-13th c,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246563 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row71 -> Table_S1!row161,ENA identifies SAMEA120246563 as Felis catus (tax_id 9685). Exact workbook join PAL09; source chronology: 12-13th c.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246564,PALcat10,archive_supplement_exact_join,direct_table_extracted,final,,11-12th c,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246564 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row73 -> Table_S1!row162,ENA identifies SAMEA120246564 as Felis catus (tax_id 9685). Exact workbook join PAL10; source chronology: 11-12th c.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246565,PETRcat06,archive_supplement_exact_join,direct_table_extracted,final,,1630-1830 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246565 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row75 -> Table_S1!row14,ENA identifies SAMEA120246565 as Felis catus (tax_id 9685). Exact workbook join PETR06; source chronology: 120AD (87.6%) 260AD / 290AD (7.8%) 320AD.,normalized_interval,1630,1830,1730,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246566,PETRcat08,archive_supplement_exact_join,direct_table_extracted,final,,1740-1930 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246566 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row76 -> Table_S1!row16,ENA identifies SAMEA120246566 as Felis catus (tax_id 9685). Exact workbook join PETR08B; source chronology: 20AD ( 2.6%) 50AD / 60AD (92.8%) 210AD.,normalized_interval,1740,1930,1835,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246567,PNEcat02,archive_supplement_exact_join,direct_table_extracted,final,,1580-1720 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246567 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row77 -> Table_S1!row114,ENA identifies SAMEA120246567 as Felis catus (tax_id 9685). Exact workbook join PNE02; source chronology: 230AD (95.4%) 370AD.,normalized_interval,1580,1720,1650,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246568,PNEcat03,archive_supplement_exact_join,direct_table_extracted,final,,End 4th cent.-beg. 5th cent AD (Roman),sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246568 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row79 -> Table_S1!row115,ENA identifies SAMEA120246568 as Felis catus (tax_id 9685). Exact workbook join PNE03; source chronology: End 4th cent.-beg. 5th cent AD (Roman).,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246569,PRNcat02,archive_supplement_exact_join,direct_table_extracted,final,,Early Bronze Age,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246569 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row83 -> Table_S1!row122,ENA identifies SAMEA120246569 as Felis silvestris silvestris (tax_id 463207). Exact workbook join PRN02; source chronology: Early Bronze Age.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246570,ROCcat01,archive_supplement_exact_join,direct_table_extracted,final,,3259-3449 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246570 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row84 -> Table_S1!row125,ENA identifies SAMEA120246570 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ROC01; source chronology: 1499 (84.4%) 1382 calBC / 1341 (11.1%) 1311 calBC.,normalized_interval,3259,3449,3354,radiocarbon,,Chronology comes from the recovered sample-owned source row.
