species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Ovis aries,sheep,PRJEB41594,prjeb41594:samea8022720,SAMEA8022720,,,SAMEA8022720,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB41594/archive_metadata.html,sample_accession:SAMEA8022720,ENA archive metadata identifies sample SAMEA8022720 as Ovis aries (tax_id 9940).,final,,,,,,,9940,Ovis aries,project_species_match,,biological_sample_accession
Ovis aries,sheep,PRJEB41594,prjeb41594:samea8022721,SAMEA8022721,,,SAMEA8022721,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB41594/archive_metadata.html,sample_accession:SAMEA8022721,ENA archive metadata identifies sample SAMEA8022721 as Ovis aries (tax_id 9940).,final,,,,,,,9940,Ovis aries,project_species_match,,biological_sample_accession
Ovis aries,sheep,PRJEB41594,prjeb41594:samea8022722,SAMEA8022722,,,SAMEA8022722,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB41594/archive_metadata.html,sample_accession:SAMEA8022722,ENA archive metadata identifies sample SAMEA8022722 as Capra hircus (tax_id 9925).,final,,,,,,,9925,Capra hircus,project_species_mismatch,,biological_sample_accession
Ovis aries,sheep,PRJEB41594,prjeb41594:samea8022723,SAMEA8022723,,,SAMEA8022723,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB41594/archive_metadata.html,sample_accession:SAMEA8022723,ENA archive metadata identifies sample SAMEA8022723 as Ovis aries (tax_id 9940).,final,,,,,,,9940,Ovis aries,project_species_match,,biological_sample_accession
Ovis aries,sheep,PRJEB41594,prjeb41594:samea8022724,SAMEA8022724,,,SAMEA8022724,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB41594/archive_metadata.html,sample_accession:SAMEA8022724,ENA archive metadata identifies sample SAMEA8022724 as Ovis aries (tax_id 9940).,final,,,,,,,9940,Ovis aries,project_species_match,,biological_sample_accession
