species_latin_name,project_accession,source_family,accession_scope,result_kind,source_title,source_description,source_title_basis,source_description_basis,archive_status,evidence_strength,ancient_status,metadata_url,paper_title,paper_doi,journal_title,publication_year,sequencing_target,material_basis,dating_basis,geographic_basis,access_policy,public_release_date,domestication_scope,notes
Felis catus,PRJEB81815,ENA,project,read_run,Ancient DNA from wild and domestic cats in Europe,"The domestic cat (Felis catus) descend from the African wildcat subspecies Felis lybica lybica. Its global distribution alongside humans testifies to its successful adaptation to the anthropogenic environment. Uncertainty remains regarding whether cats originated in the Levant, Egypt or elsewhere, when that process took place, and how cats dispersed into Europe. By generating 87 ancient and modern cat genomes, we demonstrate that cats did not spread to Europe with Neolithic farmers. Our results suggest a more recent (1st millennium BCE) date for cat domestication and that North Africa was the original source of the modern global domestic gene pool. We show that North African cats were introduced to Europe at least twice from genetically distinct populations.",ena-study-search,ena-study-search,paper_pinned_core,primary_paper_pinned,ancient_confirmed,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB81815&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,Science,2024,shotgun_genome,individual_bone_or_tooth,historical_and_archaeological_context,site_level_localities,public_downloadable,,domesticated_core,Domestic cat dispersal from North Africa to Europe.
Felis catus,PRJNA1178732,BioProject,project,read_run,"Leopard Cats Occupied Human Settlements in China for 3,500 years before the Arrival of Domestic cats in the 600-900 CE",Raw sequencing data for ancient Chinese leopard cats (Prionailurus bengalensis) and domestic cats (Felis catus),ncbi-bioproject-summary,ncbi-bioproject-summary,paper_pinned_core,primary_paper_pinned,ancient_confirmed,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1178732,"The late arrival of domestic cats in China via the Silk Road after 3,500 years of human-leopard cat commensalism",10.1016/j.xgen.2025.101099,Cell Genomics,2025,shotgun_genome,individual_bone_or_tooth,historical_and_archaeological_context,site_level_localities,public_downloadable,,domesticated_core,Late-arrival domestic cat dataset for China via Silk Road context.
