species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,locality_text,locality_resolution_status,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,site_name,municipality_name,region_name,country_name,broader_geography,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,review_note
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160925,SAMEA5160925,archive_project_sample_accession_anchor,archive_native,final,,Zurich-Seefeld,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160925 || Sheet1!row1073,"ENA archive metadata identifies sample SAMEA5160925 as Sus scrofa (tax_id 9823). || AA197 | previous_extraction_code=GL12 | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=SEE724 , S157 (inferred from the bone) 27, D000168 | additional_sample_information=AS Kt. Zürich | location=Zurich-Seefeld | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=E (2718-2710 BC cal) | source_mean_years_bp=4714 | period=Late Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown",Zurich-Seefeld,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160926,SAMEA5160926,archive_project_sample_accession_anchor,archive_native,final,,Zurich-Mozartstrasse,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160926 || Sheet1!row1060,ENA archive metadata identifies sample SAMEA5160926 as Sus scrofa (tax_id 9823). || AA200 | previous_extraction_code=GL435 | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=6859 | additional_sample_information=AS Kt. Zürich | location=Zurich-Mozartstrasse | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=1o (18th century BC cal) | source_mean_years_bp=3700 | period=Bronze Age | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown,Zurich-Mozartstrasse,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160927,SAMEA5160927,archive_project_sample_accession_anchor,archive_native,final,,Zurich-Mozartstrasse,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160927 || Sheet1!row1062,"ENA archive metadata identifies sample SAMEA5160927 as Sus scrofa (tax_id 9823). || AA202 | previous_extraction_code=- | mtdna_accession=- | source=Jörg Schibler | museum_or_sample_code=MZ 3056, most probable layer 2 | additional_sample_information=AS Kt. Zürich | location=Zurich-Mozartstrasse | country=Switzerland | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=2 (2625-2568 BC) | source_mean_years_bp=4597 | period=Late Neolithic | group=EUU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown",Zurich-Mozartstrasse,,,Switzerland,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160928,SAMEA5160928,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160928 || Sheet1!row995,"ENA archive metadata identifies sample SAMEA5160928 as Sus scrofa (tax_id 9823). || AA211 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=4124, S21 | additional_sample_information=Horizon 4 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5100-5000 to 5025-4950 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=BLW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160929,SAMEA5160929,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160929 || Sheet1!row996,"ENA archive metadata identifies sample SAMEA5160929 as Sus scrofa (tax_id 9823). || AA212 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=4125, S21 | additional_sample_information=Horizon 4 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5100-5000 to 5025-4950 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160930,SAMEA5160930,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160930 || Sheet1!row997,ENA archive metadata identifies sample SAMEA5160930 as Sus scrofa (tax_id 9823). || AA213 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=4129. S21 | additional_sample_information=Horizon 4 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5100-5000 to 5025-4950 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope,Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160931,SAMEA5160931,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160931 || Sheet1!row999,"ENA archive metadata identifies sample SAMEA5160931 as Sus scrofa (tax_id 9823). || AA216 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=4140, S21 | additional_sample_information=Horizon 4 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5100-5000 to 5025-4950 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160932,SAMEA5160932,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160932 || Sheet1!row1000,"ENA archive metadata identifies sample SAMEA5160932 as Sus scrofa (tax_id 9823). || AA217 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=4142, S21 | additional_sample_information=Horizon 4 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5100-5000 to 5025-4950 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160933,SAMEA5160933,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160933 || Sheet1!row1001,"ENA archive metadata identifies sample SAMEA5160933 as Sus scrofa (tax_id 9823). || AA218 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=4151, S21 | additional_sample_information=Horizon 4 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5100-5000 to 5025-4950 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160934,SAMEA5160934,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160934 || Sheet1!row1002,"ENA archive metadata identifies sample SAMEA5160934 as Sus scrofa (tax_id 9823). || AA219 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=PLO13.3432, F16S15 | additional_sample_information=- | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5025-4950 to 4850-4650 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160935,SAMEA5160935,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160935 || Sheet1!row1004,"ENA archive metadata identifies sample SAMEA5160935 as Sus scrofa (tax_id 9823). || AA221 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=4607, S11 | additional_sample_information=Horizon 2 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=4850-4650 to 4600-4500 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160936,SAMEA5160936,archive_project_sample_accession_anchor,archive_native,final,,Pločnik,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160936 || Sheet1!row1008,"ENA archive metadata identifies sample SAMEA5160936 as Sus scrofa (tax_id 9823). || AA225 | previous_extraction_code=- | mtdna_accession=- | source=Jelena Bulatović / David Orton | museum_or_sample_code=PLO13.4637, S11 | additional_sample_information=Horizon 2 | location=Pločnik | country=Serbia | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=4850-4650 to 4600-4500 cal. BC | source_mean_years_bp=6750 | period=Neolithic | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Pločnik,,,Serbia,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160937,SAMEA5160937,archive_project_sample_accession_anchor,archive_native,final,,Sagalossos,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160937 || Sheet1!row466,"ENA archive metadata identifies sample SAMEA5160937 as Sus scrofa (tax_id 9823). || AA226 | previous_extraction_code=- | mtdna_accession=- | source=Bea De Cupere | museum_or_sample_code=SA2001NEG113, 139 | additional_sample_information=- | location=Sagalossos | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=450-650 AD | source_mean_years_bp=1450 | period=Early Byzantine | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope",Sagalossos,,,Turkey,,,,,,Sample-level locality comes directly from the recovered sample source row.
