genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,data_type,molecular_sex,datasets
CGG_2_107013.SG,118023,Norway_Engholmen2_IA_LateGermanic,Engholmen 2 (Northern Norway/Troms),Norway,70.117388,19.017706,McCollWillerslevBioRxiv2025,,600-700 calCE (1300±50 BP),1218,54,1110,1326,1218,600-700 calCE (1300±50 BP),Shotgun,M,"1240k,ho"
CGG_2_105916.SG,117667,Norway_Fauskland_LN_EBA_BellBeaker,"Fauskland (Central Norway/ Hitra, Trøndelag)",Norway,63.60579,14.85861,McCollWillerslevBioRxiv2025,,"2137-1984 calBCE (4010±76 BP, TRa-17220 & TRa-17221)",4503,134,4235,4771,4503,"2137-1984 calBCE (4010±76 BP, TRa-17220 & TRa-17221)",Shotgun,M,"1240k,ho"
CGG_2_105643.SG,117659,Norway_Folstad_EarlyRoman,Følstad (Central Norway/ Trøndelag),Norway,63.84097,11.38678,McCollWillerslevBioRxiv2025,,"39 calBCE - 108 calCE (1916±74 BP, UCIAMS-272873)",1837,91,1655,2019,1837,"39 calBCE - 108 calCE (1916±74 BP, UCIAMS-272873)",Shotgun,F,"1240k,ho"
CGG_2_107014.SG,118025,Norway_Fore1_Roman,Føre 1 (Northern Norway/ Nordland),Norway,68.666659,14.468748,McCollWillerslevBioRxiv2025,,300-400 calCE (1600±50 BP),1473,56,1361,1585,1473,300-400 calCE (1600±50 BP),Shotgun,F,"1240k,ho"
CGG_2_107015.SG,118027,Norway_Fore1_Roman,Føre 1 (Northern Norway/ Nordland),Norway,68.666659,14.468748,McCollWillerslevBioRxiv2025,,300-400 calCE (1600±50 BP),1473,56,1361,1585,1473,300-400 calCE (1600±50 BP),Shotgun,M,"1240k,ho"
VK420.SG,7474,Norway_Viking,"Hamar nor (Nor South, Innlandet, Hedmark)",Norway,60.8,11.1,MargaryanWillerslevNature2020,,700-1100 CE,1050,115,820,1280,1050,700-1100 CE,Shotgun,M,"1240k,ho"
CGG_2_107030.SG,118055,Norway_HolmBindalM_IA_LateGermanic,"Holm, Bindal M (Northern Norway / Nordland)",Norway,65.171328,12.11521,McCollWillerslevBioRxiv2025,,"673-773 calCE (1227±50 BP, UCIAMS-289258)",1153,70,1013,1293,1153,"673-773 calCE (1227±50 BP, UCIAMS-289258)",Shotgun,M,"1240k,ho"
hvr009.SG,40261,Norway_PreViking,"Horvnes (Nordland, Alstahaug)",Norway,66,12.7,Rodríguez-VarelaGötherströmCell2023,,60-215 calCE,1813,45,1723,1903,1813,60-215 calCE,Shotgun,F,"1240k,ho"
VK525.SG,7576,Norway_Viking,"Hov (19/1, Løkta) (Nordland, Dønna)",Norway,66.18,12.72,MargaryanWillerslevNature2020,,800-900 CE,1100,29,1042,1158,1100,800-900 CE,Shotgun,F,"1240k,ho"
NEO17.SG,46803,Norway_Mesolithic,"Hummervikholmen (Agder, Søgne nor)",Norway,58.064,7.7437,AllentoftWillerslevNature2024,,"7589-7368 calBCE (8446±51 BP, Ua-47892)",9384,51,9282,9486,9384,"7589-7368 calBCE (8446±51 BP, Ua-47892)",Shotgun,M,"1240k,ho"
Hum1.SG,6128,Norway_Mesolithic,"Hummervikholmen (Agder, Søgne nor)",Norway,58.064,7.7437,GüntherJakobssonPLoSBiol2018,,"7502-7325 calBCE (8703±27 BP) [R_Combine: TRa-954, TUa-1257, TRa-952, TUa-2106, TRa-951, TRa-953, TUa-2107)]",9364,51,9262,9466,9364,"7502-7325 calBCE (8703±27 BP) [R_Combine: TRa-954, TUa-1257, TRa-952, TUa-2106, TRa-951, TRa-953, TUa-2107)]",Shotgun,F,"1240k,ho"
