schema_version,species_latin_name,species_common_name,source_family,sample_namespace,locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,dating_basis,coordinate_confidence,datasets,sample_ids
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Rønvik nedre (32/100, Rønvik) (Nordland, Bodø)",67.28,14.39,2,942,1058,1000,942-1058 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK515.SG;VK530.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Skeie, Klepp (Western Norway/ Rogaland)",58.693992,5.547228,2,1240,1520,1380,1240-1520 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107042.SG;CGG_2_107043.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Trygstad i Bø (188/10) (Troms, Tromsø, Tussøy)",69.47,18,2,1034,4469,2752,1034-4469 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK528.SG;VK531.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Tyrifjorden (Southern Norway/ Buskerud),60.05727068,10.22125778,2,1299,2955,2127,1299-2955 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107002.SG;CGG_2_107003.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Arnestad lille (25/1) (Nor South, Hedmark, Åmot)",61.15,11.34,1,942,1058,1000,942-1058 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK422.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Aunvollen (Central Norway/ Trøndelag),63.12322,16.90684,1,675,1211,943,675-1211 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105915.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Balsnes (Northern Norway/ Troms),69.540721,18.853029,1,957,1353,1155,957-1353 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107012.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Bomo, Snåsa M (Central Norway/Trøndelag)",64.263118,12.446387,1,1361,1585,1473,1361-1585 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107020.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Bøle, Flatanger M, T21061:2, A7271 (Central Norway/ Trøndelag)",64.375798,10.631408,1,1003,1827,1415,1003-1827 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107036.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Bøle, Flatanger M, T21061:3 A7272 (Central Norway/ Trøndelag)",64.375798,10.631408,1,1386,1930,1658,1386-1930 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107035.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Enge, Sømna M (Northern Norway/ Nordland)",65.274799,12.12716,1,1009,1309,1159,1009-1309 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107037.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Engholmen (Northern Norway/Troms),70.117388,19.017706,1,2612,3188,2900,2612-3188 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107011.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Engholmen 2 (Northern Norway/Troms),70.117388,19.017706,1,1110,1326,1218,1110-1326 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107013.SG
