species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574432,SAMEA115574432,,,SAMEA115574432,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574432,ENA archive metadata identifies sample SAMEA115574432 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574433,SAMEA115574433,,,SAMEA115574433,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574433,ENA archive metadata identifies sample SAMEA115574433 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574434,SAMEA115574434,,,SAMEA115574434,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574434,ENA archive metadata identifies sample SAMEA115574434 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574435,SAMEA115574435,,,SAMEA115574435,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574435,ENA archive metadata identifies sample SAMEA115574435 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574436,SAMEA115574436,,,SAMEA115574436,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574436,ENA archive metadata identifies sample SAMEA115574436 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574437,SAMEA115574437,,,SAMEA115574437,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574437,ENA archive metadata identifies sample SAMEA115574437 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574440,SAMEA115574440,,,SAMEA115574440,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574440,ENA archive metadata identifies sample SAMEA115574440 as Bos taurus (tax_id 9913).,final,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574441,SAMEA115574441,,,SAMEA115574441,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574441,ENA archive metadata identifies sample SAMEA115574441 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574442,SAMEA115574442,,,SAMEA115574442,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574442,ENA archive metadata identifies sample SAMEA115574442 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574443,SAMEA115574443,,,SAMEA115574443,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574443,ENA archive metadata identifies sample SAMEA115574443 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574444,SAMEA115574444,,,SAMEA115574444,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574444,ENA archive metadata identifies sample SAMEA115574444 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574445,SAMEA115574445,,,SAMEA115574445,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574445,ENA archive metadata identifies sample SAMEA115574445 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574446,SAMEA115574446,,,SAMEA115574446,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574446,ENA archive metadata identifies sample SAMEA115574446 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574447,SAMEA115574447,,,SAMEA115574447,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574447,ENA archive metadata identifies sample SAMEA115574447 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574448,SAMEA115574448,,,SAMEA115574448,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574448,ENA archive metadata identifies sample SAMEA115574448 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574449,SAMEA115574449,,,SAMEA115574449,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574449,ENA archive metadata identifies sample SAMEA115574449 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574450,SAMEA115574450,,,SAMEA115574450,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574450,ENA archive metadata identifies sample SAMEA115574450 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574452,SAMEA115574452,,,SAMEA115574452,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574452,ENA archive metadata identifies sample SAMEA115574452 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574454,SAMEA115574454,,,SAMEA115574454,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574454,ENA archive metadata identifies sample SAMEA115574454 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574455,SAMEA115574455,,,SAMEA115574455,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574455,ENA archive metadata identifies sample SAMEA115574455 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574456,SAMEA115574456,,,SAMEA115574456,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574456,ENA archive metadata identifies sample SAMEA115574456 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574457,SAMEA115574457,,,SAMEA115574457,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574457,ENA archive metadata identifies sample SAMEA115574457 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
